,endtime,artistname,trackname,msplayed,duration,starttime,year,month,week,dayofweek,day,hour,minute,quarter
0,2020-12-04 18:21:00.000,GIMS,YOLO,62314,0 days 00:01:02.314000,2020-12-04 18:19:57.686,2020,12,49,4,4,18,21,4
1,2020-12-05 00:01:00.000,Ya Levis,Lokesha,175885,0 days 00:02:55.885000,2020-12-04 23:58:04.115,2020,12,49,5,5,0,1,4
2,2020-12-05 15:53:00.000,Tayc,African Sugar (avec Tiwa Savage),2304,0 days 00:00:02.304000,2020-12-05 15:52:57.696,2020,12,49,5,5,15,53,4
3,2020-12-05 15:53:00.000,Axel Tony,Miel,2538,0 days 00:00:02.538000,2020-12-05 15:52:57.462,2020,12,49,5,5,15,53,4
4,2020-12-06 13:22:00.000,Burna Boy,African Giant,6997,0 days 00:00:06.997000,2020-12-06 13:21:53.003,2020,12,49,6,6,13,22,4
5,2020-12-06 13:22:00.000,Tayc,African Sugar (avec Tiwa Savage),2112,0 days 00:00:02.112000,2020-12-06 13:21:57.888,2020,12,49,6,6,13,22,4
6,2020-12-06 13:22:00.000,Stormzy,Own It (feat. Ed Sheeran & Burna Boy),1066,0 days 00:00:01.066000,2020-12-06 13:21:58.934,2020,12,49,6,6,13,22,4
7,2020-12-06 13:22:00.000,Burna Boy,On the Low,7743,0 days 00:00:07.743000,2020-12-06 13:21:52.257,2020,12,49,6,6,13,22,4
8,2020-12-06 13:22:00.000,Burna Boy,On the Low,2026,0 days 00:00:02.026000,2020-12-06 13:21:57.974,2020,12,49,6,6,13,22,4
9,2020-12-06 13:22:00.000,Burna Boy,Anybody,2880,0 days 00:00:02.880000,2020-12-06 13:21:57.120,2020,12,49,6,6,13,22,4
10,2020-12-06 13:25:00.000,Burna Boy,On the Low,185898,0 days 00:03:05.898000,2020-12-06 13:21:54.102,2020,12,49,6,6,13,25,4
11,2020-12-06 13:27:00.000,Burna Boy,Show & Tell (feat. Future),73578,0 days 00:01:13.578000,2020-12-06 13:25:46.422,2020,12,49,6,6,13,27,4
12,2020-12-06 13:30:00.000,Burna Boy,African Giant,184761,0 days 00:03:04.761000,2020-12-06 13:26:55.239,2020,12,49,6,6,13,30,4
13,2020-12-06 13:33:00.000,Burna Boy,Anybody,188741,0 days 00:03:08.741000,2020-12-06 13:29:51.259,2020,12,49,6,6,13,33,4
14,2020-12-06 13:54:00.000,Burna Boy,Wetin Man Go Do,33516,0 days 00:00:33.516000,2020-12-06 13:53:26.484,2020,12,49,6,6,13,54,4
15,2020-12-06 13:57:00.000,Burna Boy,Dangote,225404,0 days 00:03:45.404000,2020-12-06 13:53:14.596,2020,12,49,6,6,13,57,4
16,2020-12-06 14:03:00.000,Burna Boy,Gum Body (feat. Jorja Smith),87725,0 days 00:01:27.725000,2020-12-06 14:01:32.275,2020,12,49,6,6,14,3,4
17,2020-12-09 12:09:00.000,Naza,Faut pardonner,6378,0 days 00:00:06.378000,2020-12-09 12:08:53.622,2020,12,50,2,9,12,9,4
18,2020-12-09 12:11:00.000,GIMS,INTRO,90946,0 days 00:01:30.946000,2020-12-09 12:09:29.054,2020,12,50,2,9,12,11,4
19,2020-12-09 12:14:00.000,GIMS,IMMORTEL,191453,0 days 00:03:11.453000,2020-12-09 12:10:48.547,2020,12,50,2,9,12,14,4
20,2020-12-09 12:18:00.000,GIMS,CÔTÉ NOIR (feat. Leto),230973,0 days 00:03:50.973000,2020-12-09 12:14:09.027,2020,12,50,2,9,12,18,4
21,2020-12-09 12:21:00.000,GIMS,OATS (feat. Boumidjal X),176200,0 days 00:02:56.200000,2020-12-09 12:18:03.800,2020,12,50,2,9,12,21,4
22,2020-12-09 12:24:00.000,GIMS,PENDEJO (feat. Bosh),199053,0 days 00:03:19.053000,2020-12-09 12:20:40.947,2020,12,50,2,9,12,24,4
23,2020-12-09 12:28:00.000,GIMS,ORIGAMI (feat. X NILO VIRUS),215853,0 days 00:03:35.853000,2020-12-09 12:24:24.147,2020,12,50,2,9,12,28,4
24,2020-12-09 12:31:00.000,GIMS,YOLO,197933,0 days 00:03:17.933000,2020-12-09 12:27:42.067,2020,12,50,2,9,12,31,4
25,2020-12-09 12:34:00.000,GIMS,ORO JACKSON (feat. Gazo),180000,0 days 00:03:00,2020-12-09 12:31:00.000,2020,12,50,2,9,12,34,4
26,2020-12-09 12:37:00.000,GIMS,TWENNY TWENNY (feat. Tifyala),159600,0 days 00:02:39.600000,2020-12-09 12:34:20.400,2020,12,50,2,9,12,37,4
27,2020-12-09 12:39:00.000,GIMS,OG NA OG,170746,0 days 00:02:50.746000,2020-12-09 12:36:09.254,2020,12,50,2,9,12,39,4
28,2020-12-09 12:41:00.000,GIMS,SICARIO (feat. Heuss L'enfoiré),94120,0 days 00:01:34.120000,2020-12-09 12:39:25.880,2020,12,50,2,9,12,41,4
29,2020-12-10 12:21:00.000,Lab'l,Ma Ve Wa Ngan,248085,0 days 00:04:08.085000,2020-12-10 12:16:51.915,2020,12,50,3,10,12,21,4
30,2020-12-10 12:22:00.000,Lab'l,Ma Ve Wa Ngan,47565,0 days 00:00:47.565000,2020-12-10 12:21:12.435,2020,12,50,3,10,12,22,4
31,2020-12-10 12:27:00.000,Lab'l,Ma Ve Wa Ngan,295640,0 days 00:04:55.640000,2020-12-10 12:22:04.360,2020,12,50,3,10,12,27,4
32,2020-12-10 12:28:00.000,Ya Levis,Katchua,16064,0 days 00:00:16.064000,2020-12-10 12:27:43.936,2020,12,50,3,10,12,28,4
33,2020-12-10 12:28:00.000,Innoss'B,Yo Pe (Remix),35337,0 days 00:00:35.337000,2020-12-10 12:27:24.663,2020,12,50,3,10,12,28,4
34,2020-12-10 12:32:00.000,Hillsong Worship,King Of Kings,265080,0 days 00:04:25.080000,2020-12-10 12:27:34.920,2020,12,50,3,10,12,32,4
35,2020-12-10 12:33:00.000,William McDowell,When I Call Your Name,31145,0 days 00:00:31.145000,2020-12-10 12:32:28.855,2020,12,50,3,10,12,33,4
36,2020-12-10 12:33:00.000,William McDowell,Expecting,746,0 days 00:00:00.746000,2020-12-10 12:32:59.254,2020,12,50,3,10,12,33,4
37,2020-12-10 12:33:00.000,William McDowell,There Is Something About That Name,1088,0 days 00:00:01.088000,2020-12-10 12:32:58.912,2020,12,50,3,10,12,33,4
38,2020-12-10 12:37:00.000,Hillsong Worship,What A Beautiful Name,240200,0 days 00:04:00.200000,2020-12-10 12:32:59.800,2020,12,50,3,10,12,37,4
39,2020-12-10 12:40:00.000,William McDowell,Here I Am To Worship,221733,0 days 00:03:41.733000,2020-12-10 12:36:18.267,2020,12,50,3,10,12,40,4
40,2020-12-10 12:54:00.000,William McDowell,Withholding Nothing Medley (Live),793877,0 days 00:13:13.877000,2020-12-10 12:40:46.123,2020,12,50,3,10,12,54,4
41,2020-12-10 19:04:00.000,Aya Nakamura,Doudou,100906,0 days 00:01:40.906000,2020-12-10 19:02:19.094,2020,12,50,3,10,19,4,4
42,2020-12-10 19:10:00.000,13 Organisé,Bande organisée,356346,0 days 00:05:56.346000,2020-12-10 19:04:03.654,2020,12,50,3,10,19,10,4
43,2020-12-10 19:11:00.000,Dua Lipa,Fever,35388,0 days 00:00:35.388000,2020-12-10 19:10:24.612,2020,12,50,3,10,19,11,4
44,2020-12-10 19:14:00.000,Zola,9 1 1 3 (feat. SCH),11758,0 days 00:00:11.758000,2020-12-10 19:13:48.242,2020,12,50,3,10,19,14,4
45,2020-12-10 19:14:00.000,Naza,Joli bébé,178333,0 days 00:02:58.333000,2020-12-10 19:11:01.667,2020,12,50,3,10,19,14,4
46,2020-12-11 13:46:00.000,Sarkodie,Happy Day,3648,0 days 00:00:03.648000,2020-12-11 13:45:56.352,2020,12,50,4,11,13,46,4
47,2020-12-11 13:50:00.000,Olakira,Maserati - Remix,208420,0 days 00:03:28.420000,2020-12-11 13:46:31.580,2020,12,50,4,11,13,50,4
48,2020-12-11 13:53:00.000,Rema,Peace Of Mind,208692,0 days 00:03:28.692000,2020-12-11 13:49:31.308,2020,12,50,4,11,13,53,4
49,2020-12-11 13:56:00.000,Kelvyn Boy,Tele,194400,0 days 00:03:14.400000,2020-12-11 13:52:45.600,2020,12,50,4,11,13,56,4
50,2020-12-11 13:59:00.000,KeBlack,Je fais ma vie,171226,0 days 00:02:51.226000,2020-12-11 13:56:08.774,2020,12,50,4,11,13,59,4
51,2020-12-11 14:02:00.000,S1mba,Rover (feat. Lil Tecca),166805,0 days 00:02:46.805000,2020-12-11 13:59:13.195,2020,12,50,4,11,14,2,4
52,2020-12-11 14:05:00.000,HarrySong,Konna,200387,0 days 00:03:20.387000,2020-12-11 14:01:39.613,2020,12,50,4,11,14,5,4
53,2020-12-11 14:08:00.000,Buju,So Lovely,148000,0 days 00:02:28,2020-12-11 14:05:32.000,2020,12,50,4,11,14,8,4
54,2020-12-11 14:11:00.000,Dadju,Dieu merci,211648,0 days 00:03:31.648000,2020-12-11 14:07:28.352,2020,12,50,4,11,14,11,4
55,2020-12-11 14:15:00.000,Uzzo,Kpa (Money),195773,0 days 00:03:15.773000,2020-12-11 14:11:44.227,2020,12,50,4,11,14,15,4
56,2020-12-11 14:18:00.000,Skales,Inumidun,188660,0 days 00:03:08.660000,2020-12-11 14:14:51.340,2020,12,50,4,11,14,18,4
57,2020-12-11 14:21:00.000,MC One,La vie du bon côté,189706,0 days 00:03:09.706000,2020-12-11 14:17:50.294,2020,12,50,4,11,14,21,4
58,2020-12-11 14:24:00.000,WizKid,Ginger (feat. Burna Boy),196146,0 days 00:03:16.146000,2020-12-11 14:20:43.854,2020,12,50,4,11,14,24,4
59,2020-12-11 14:26:00.000,Says'z,Afro'Classic 3,129795,0 days 00:02:09.795000,2020-12-11 14:23:50.205,2020,12,50,4,11,14,26,4
60,2020-12-11 14:30:00.000,WizKid,Longtime (feat. Skepta),239893,0 days 00:03:59.893000,2020-12-11 14:26:00.107,2020,12,50,4,11,14,30,4
61,2020-12-11 14:34:00.000,Nandy,Acha Lizame,195186,0 days 00:03:15.186000,2020-12-11 14:30:44.814,2020,12,50,4,11,14,34,4
62,2020-12-11 14:37:00.000,Toofan,Ye Mama,198692,0 days 00:03:18.692000,2020-12-11 14:33:41.308,2020,12,50,4,11,14,37,4
63,2020-12-11 14:40:00.000,Driks,Demain,176677,0 days 00:02:56.677000,2020-12-11 14:37:03.323,2020,12,50,4,11,14,40,4
64,2020-12-11 14:43:00.000,Tiwa Savage,Koroba,156454,0 days 00:02:36.454000,2020-12-11 14:40:23.546,2020,12,50,4,11,14,43,4
65,2020-12-11 14:46:00.000,Shirazee,RIGHT THANG (feat. Busiswa),188058,0 days 00:03:08.058000,2020-12-11 14:42:51.942,2020,12,50,4,11,14,46,4
66,2020-12-11 14:46:00.000,Aya Nakamura,Doudou,9445,0 days 00:00:09.445000,2020-12-11 14:45:50.555,2020,12,50,4,11,14,46,4
67,2020-12-11 14:49:00.000,Charlotte Dipanda,Coeur en cage,201644,0 days 00:03:21.644000,2020-12-11 14:45:38.356,2020,12,50,4,11,14,49,4
68,2020-12-11 14:51:00.000,Stonebwoy,Activate,94069,0 days 00:01:34.069000,2020-12-11 14:49:25.931,2020,12,50,4,11,14,51,4
69,2020-12-11 17:29:00.000,Fally Ipupa,Likolo (feat. Ninho),150016,0 days 00:02:30.016000,2020-12-11 17:26:29.984,2020,12,50,4,11,17,29,4
70,2020-12-15 22:06:00.000,Ninho,Filon,15765,0 days 00:00:15.765000,2020-12-15 22:05:44.235,2020,12,51,1,15,22,6,4
